Season,Rank,Player,Team,Pos,Round,Pick,pred_proba,Recommendation,NBA,NBA_YOS
2015-16,1,Ben Bentil,Providence,G,2.0,51.0,0.9273496240601503,NBA Potential,1.0,1.0
2015-16,2,Wade Baldwin IV,Vanderbilt,G,1.0,17.0,0.9268496240601504,NBA Potential,1.0,3.0
2015-16,3,Jamal Murray,Kentucky,G,1.0,7.0,0.9198496240601504,NBA Potential,1.0,9.0
2015-16,4,Malik Beasley,Florida State,G,1.0,19.0,0.9198496240601504,NBA Potential,1.0,9.0
2015-16,5,Patrick McCaw,UNLV,G,2.0,38.0,0.9018901098901099,NBA Potential,1.0,5.0
2015-16,6,Jakob Poeltl,Utah,F,1.0,9.0,0.9013880855986119,NBA Potential,1.0,10.0
2015-16,7,Dejounte Murray,Washington,G,1.0,29.0,0.9007781954887217,NBA Potential,1.0,8.0
2015-16,8,Marquese Chriss,Washington,F,1.0,8.0,0.8883496240601503,NBA Potential,1.0,6.0
2015-16,9,Marcus Georges-Hunt,Georgia Tech,G,0.0,0.0,0.8871115288220548,NBA Potential,1.0,2.0
2015-16,10,Domantas Sabonis,Gonzaga,G,1.0,11.0,0.8753496240601504,NBA Potential,1.0,10.0
2015-16,11,Denzel Valentine,Michigan State,G,1.0,14.0,0.8708496240601503,NBA Potential,1.0,5.0
2015-16,12,Brandon Ingram,Duke,F,1.0,2.0,0.870452380952381,NBA Potential,1.0,10.0
2015-16,13,Pascal Siakam,New Mexico State,G,1.0,27.0,0.8641829573934835,NBA Potential,1.0,10.0
2015-16,14,Tyrone Wallace,California,G,2.0,60.0,0.8613020050125314,NBA Potential,1.0,4.0
2015-16,15,Kyle Collinsworth,Brigham Young,G,0.0,0.0,0.851388085598612,NBA Potential,1.0,1.0
2015-16,16,Henry Ellenson,Marquette,G,1.0,18.0,0.8506353383458647,NBA Potential,1.0,5.0
2015-16,17,Jarrod Uthoff,Iowa,G,0.0,0.0,0.8484210526315789,NBA Potential,1.0,2.0
2015-16,18,Kris Dunn,Providence,G,1.0,5.0,0.8484210526315789,NBA Potential,1.0,10.0
2015-16,19,Daniel Hamilton,Connecticut,G,2.0,56.0,0.8467781954887215,NBA Potential,1.0,2.0
2015-16,20,Jaylen Brown,California,F,1.0,3.0,0.8424051796157059,NBA Potential,1.0,10.0
2015-16,21,Chinanu Onuaku,Louisville,F,2.0,37.0,0.8397012987012985,NBA Potential,1.0,2.0
2015-16,22,Brice Johnson,North Carolina,F,1.0,25.0,0.8394833236938499,NBA Potential,1.0,2.0
2015-16,23,Tyler Ulis,Kentucky,G,2.0,34.0,0.8379051796157059,NBA Potential,1.0,3.0
2015-16,24,Georges Niang,Iowa State,F,2.0,50.0,0.8371115288220553,NBA Potential,1.0,9.0
2015-16,25,Demetrius Jackson,Notre Dame,G,2.0,45.0,0.8341353383458646,NBA Potential,1.0,3.0
2015-16,26,Gary Payton II,Oregon State,G,0.0,0.0,0.832340466550993,NBA Potential,1.0,10.0
2015-16,27,Deyonta Davis,Michigan State,F,2.0,31.0,0.8317012987012987,NBA Potential,1.0,3.0
2015-16,28,Taurean Prince,Baylor,F,1.0,12.0,0.8231573163678426,NBA Potential,1.0,10.0
2015-16,29,Diamond Stone,Maryland,C,2.0,40.0,0.8176957779063041,NBA Potential,1.0,1.0
2015-16,30,Kyle Wiltjer,Gonzaga,F,0.0,0.0,0.817468671679198,NBA Potential,1.0,1.0
2015-16,31,Malcolm Brogdon,Virginia,G,2.0,36.0,0.8154234234234234,NBA Potential,1.0,9.0
2015-16,32,Troy Williams,Indiana,F,0.0,0.0,0.8150877192982456,NBA Potential,1.0,3.0
2015-16,33,Isaiah Taylor,Texas,G,0.0,0.0,0.8131539718862374,NBA Potential,1.0,2.0
2015-16,34,Ryan Anderson,Arizona,F,0.0,0.0,0.8006375028480293,NBA Potential,1.0,4.0
2015-16,35,Dorian Finney-Smith,Florida,F,0.0,0.0,0.7986375028480291,NBA Potential,1.0,9.0
2015-16,36,Matt Costello,Michigan State,F,0.0,0.0,0.7978496240601504,NBA Potential,1.0,1.0
2015-16,37,Derrick Jones Jr.,UNLV,F,0.0,0.0,0.7974045691150954,NBA Potential,1.0,10.0
2015-16,38,Ben Simmons,Louisiana State,G,1.0,1.0,0.7955250626566416,NBA Potential,1.0,7.0
2015-16,39,Jaysean Paige,West Virginia,G,0.0,0.0,0.783137502848029,NBA Potential,1.0,1.0
2015-16,40,Daniel Ochefu,Villanova,F,0.0,0.0,0.7816353383458645,NBA Potential,1.0,1.0
2015-16,41,Buddy Hield,Oklahoma,G,1.0,6.0,0.7807846320346321,NBA Potential,1.0,10.0
2015-16,42,Ryan Arcidiacono,Villanova,G,0.0,0.0,0.7653041695146958,NBA Potential,1.0,7.0
2015-16,43,Malachi Richardson,Syracuse,G,1.0,22.0,0.7639236981342244,NBA Potential,1.0,3.0
2015-16,44,Skal Labissiere,Kentucky,F,1.0,28.0,0.7593591000913655,NBA Potential,1.0,5.0
2015-16,45,Damion Lee,Louisville,G,0.0,0.0,0.7551778093883357,NBA Potential,1.0,7.0
2015-16,46,Yogi Ferrell,Indiana,G,0.0,0.0,0.7528609595714858,NBA Potential,1.0,5.0
2015-16,47,Michael Gbinije,Syracuse,F,2.0,49.0,0.7397763249079038,NBA Potential,1.0,1.0
2015-16,48,Joel Bolomboy,Weber State,G,2.0,52.0,0.7344542124542125,NBA Potential,1.0,2.0
2015-16,49,Gabe York,Arizona,G,0.0,0.0,0.7339821572144226,NBA Potential,1.0,2.0
2015-16,50,Damian Jones,Vanderbilt,C,1.0,30.0,0.7242683542601307,NBA Potential,1.0,8.0
2016-17,1,Tyler Lydon,Syracuse,F,1.0,24.0,0.9398496240601503,NBA Potential,1.0,2.0
2016-17,2,Jayson Tatum,Duke,F,1.0,3.0,0.9393496240601504,NBA Potential,1.0,8.0
2016-17,3,Jonathan Isaac,Florida State,F,1.0,6.0,0.9393496240601504,NBA Potential,1.0,7.0
2016-17,4,Thomas Bryant,Indiana,C,2.0,42.0,0.9348496240601504,NBA Potential,1.0,9.0
2016-17,5,Derrick White,Colorado,G,1.0,29.0,0.9236778093883358,NBA Potential,1.0,9.0
2016-17,6,De'Aaron Fox,Kentucky,G,1.0,5.0,0.9211778093883357,NBA Potential,1.0,8.0
2016-17,7,Tyler Dorsey,Oregon,G,2.0,41.0,0.9211778093883357,NBA Potential,1.0,3.0
2016-17,8,Donovan Mitchell,Louisville,G,1.0,13.0,0.9186778093883359,NBA Potential,1.0,9.0
2016-17,9,Johnathan Motley,Baylor,F,0.0,0.0,0.9078901098901099,NBA Potential,1.0,3.0
2016-17,10,Dennis Smith Jr.,NC State,G,1.0,9.0,0.9062781954887218,NBA Potential,1.0,7.0
2016-17,11,Devin Robinson,Florida,F,0.0,0.0,0.9020162907268169,NBA Potential,1.0,2.0
2016-17,12,Ben Moore,SMU,F,0.0,0.0,0.9013880855986119,NBA Potential,1.0,1.0
2016-17,13,Dillon Brooks,Oregon,F,2.0,45.0,0.9013880855986119,NBA Potential,1.0,9.0
2016-17,14,Ivan Rabb,California,F,2.0,35.0,0.9013880855986119,NBA Potential,1.0,2.0
2016-17,15,Jawun Evans,Oklahoma State,G,2.0,39.0,0.9013880855986119,NBA Potential,1.0,2.0
2016-17,16,Malcolm Hill,Illinois,G,0.0,0.0,0.9013880855986119,NBA Potential,1.0,2.0
2016-17,17,Sindarius Thornwell,South Carolina,F,2.0,48.0,0.9013880855986119,NBA Potential,1.0,4.0
2016-17,18,Davon Reed,Miami (FL),G,2.0,32.0,0.9000162907268171,NBA Potential,1.0,4.0
2016-17,19,Lauri Markkanen,Arizona,F,1.0,7.0,0.897221418931945,NBA Potential,1.0,9.0
2016-17,20,Andrew White III,Syracuse,G,0.0,0.0,0.8912781954887219,NBA Potential,1.0,1.0
2016-17,21,Sterling Brown,SMU,G,2.0,46.0,0.8912781954887219,NBA Potential,1.0,6.0
2016-17,22,Luke Kennard,Duke,G,1.0,12.0,0.8886957779063043,NBA Potential,1.0,9.0
2016-17,23,Josh Jackson,Kansas,G,1.0,4.0,0.8866957779063043,NBA Potential,1.0,5.0
2016-17,24,Dwayne Bacon,Florida State,F,2.0,40.0,0.8843496240601503,NBA Potential,1.0,4.0
2016-17,25,Charles Cooke,Dayton,G,0.0,0.0,0.8841353383458646,NBA Potential,1.0,1.0
2016-17,26,Markelle Fultz,Washington,G,1.0,1.0,0.8841353383458646,NBA Potential,1.0,8.0
2016-17,27,Semi Ojeleye,SMU,G,2.0,37.0,0.8723496240601504,NBA Potential,1.0,5.0
2016-17,28,Jarrett Allen,Texas,F,1.0,22.0,0.8718496240601503,NBA Potential,1.0,9.0
2016-17,29,Cameron Oliver,Nevada,G,0.0,0.0,0.8718444760550025,NBA Potential,1.0,2.0
2016-17,30,De'Anthony Melton,Southern California,G,2.0,46.0,0.8653496240601504,NBA Potential,1.0,7.0
2016-17,31,Bam Adebayo,Kentucky,F,1.0,14.0,0.8644523809523811,NBA Potential,1.0,9.0
2016-17,32,Josh Hart,Villanova,G,1.0,30.0,0.8573496240601504,NBA Potential,1.0,9.0
2016-17,33,Deonte Burton,Iowa State,G,0.0,0.0,0.8484210526315789,NBA Potential,1.0,3.0
2016-17,34,Edmond Sumner,Xavier,G,2.0,52.0,0.8484210526315789,NBA Potential,1.0,5.0
2016-17,35,Isaiah Briscoe,Kentucky,G,0.0,0.0,0.8394051796157059,NBA Potential,1.0,1.0
2016-17,36,Jamel Artis,Pittsburgh,G,0.0,0.0,0.8387827742433007,NBA Potential,1.0,1.0
2016-17,37,OG Anunoby,Indiana,F,1.0,23.0,0.8341353383458646,NBA Potential,1.0,9.0
2016-17,38,Jaron Blossomgame,Clemson,F,2.0,59.0,0.8287781954887219,NBA Potential,1.0,1.0
2016-17,39,Jabari Bird,California,G,2.0,56.0,0.8239951267056529,NBA Potential,1.0,1.0
2016-17,40,Justin Patton,Creighton,C,1.0,16.0,0.8233583959899748,NBA Potential,1.0,4.0
2016-17,41,Troy Caupain,Cincinnati,G,0.0,0.0,0.8206539718862373,NBA Potential,1.0,1.0
2016-17,42,Caleb Swanigan,Purdue,G,1.0,26.0,0.8150877192982456,NBA Potential,1.0,3.0
2016-17,43,Lonzo Ball,UCLA,G,1.0,2.0,0.8150877192982456,NBA Potential,1.0,7.0
2016-17,44,Chris Boucher,Oregon,F,0.0,0.0,0.8148496240601503,NBA Potential,1.0,9.0
2016-17,45,Derrick Walton Jr.,Michigan,F,0.0,0.0,0.8121573163678427,NBA Potential,1.0,3.0
2016-17,46,Tony Bradley,North Carolina,F,1.0,28.0,0.8098412698412698,NBA Potential,1.0,8.0
2016-17,47,Frank Jackson,Duke,G,2.0,31.0,0.7864430306535569,NBA Potential,1.0,5.0
2016-17,48,Damyean Dotson,Houston,G,2.0,44.0,0.782585216795743,NBA Potential,1.0,5.0
2016-17,49,D.J. Wilson,Michigan,F,1.0,17.0,0.7823404665509928,NBA Potential,1.0,6.0
2016-17,50,London Perrantes,Virginia,G,0.0,0.0,0.777820638552904,NBA Potential,1.0,1.0
2017-18,1,Jacob Evans,Cincinnati,G,1.0,28.0,0.9398496240601503,NBA Potential,1.0,2.0
2017-18,2,Rawle Alkins,Arizona,G,0.0,0.0,0.9398496240601503,NBA Potential,1.0,1.0
2017-18,3,Miles Bridges,Michigan State,G,1.0,12.0,0.9373496240601504,NBA Potential,1.0,7.0
2017-18,4,Shake Milton,SMU,G,2.0,54.0,0.9353496240601503,NBA Potential,1.0,7.0
2017-18,5,Shai Gilgeous-Alexander,Kentucky,G,1.0,11.0,0.9328496240601503,NBA Potential,1.0,8.0
2017-18,6,Bruce Brown,Miami (FL),G,2.0,42.0,0.9318496240601505,NBA Potential,1.0,8.0
2017-18,7,Tyler Davis,Texas A&M,C,0.0,0.0,0.9246778093883357,NBA Potential,1.0,1.0
2017-18,8,Grayson Allen,Duke,G,1.0,21.0,0.9231778093883356,NBA Potential,1.0,8.0
2017-18,9,Moritz Wagner,Michigan,G,1.0,25.0,0.9231778093883356,NBA Potential,1.0,7.0
2017-18,10,J.P. Macura,Xavier,G,0.0,0.0,0.9198496240601504,NBA Potential,1.0,2.0
2017-18,11,Khyri Thomas,Creighton,G,2.0,38.0,0.9198496240601504,NBA Potential,1.0,3.0
2017-18,12,Jontay Porter,Missouri,F,0.0,0.0,0.9196778093883357,NBA Potential,1.0,2.0
2017-18,13,Marvin Bagley III,Duke,G,1.0,2.0,0.9060162907268172,NBA Potential,1.0,8.0
2017-18,14,Jalen Brunson,Villanova,C,2.0,33.0,0.905516290726817,NBA Potential,1.0,8.0
2017-18,15,Omari Spellman,Villanova,F,1.0,30.0,0.9051778093883357,NBA Potential,1.0,2.0
2017-18,16,Justin Jackson,Maryland,F,2.0,43.0,0.9035162907268169,NBA Potential,1.0,7.0
2017-18,17,Deng Adel,Louisville,F,0.0,0.0,0.9030162907268171,NBA Potential,1.0,1.0
2017-18,18,Josh Okogie,Georgia Tech,G,1.0,20.0,0.9013880855986119,NBA Potential,1.0,8.0
2017-18,19,Wendell Carter Jr.,Duke,F,1.0,7.0,0.9013880855986119,NBA Potential,1.0,8.0
2017-18,20,Zhaire Smith,Texas Tech,G,1.0,16.0,0.9013880855986119,NBA Potential,1.0,2.0
2017-18,21,Kevin Huerter,Maryland,G,1.0,19.0,0.8950162907268171,NBA Potential,1.0,8.0
2017-18,22,Jock Landale,St. Mary's (CA),F,0.0,0.0,0.8841353383458646,NBA Potential,1.0,5.0
2017-18,23,Kelan Martin,Butler,G,0.0,0.0,0.8813496240601504,NBA Potential,1.0,3.0
2017-18,24,Marcus Derrickson,Georgetown,F,0.0,0.0,0.8757619047619049,NBA Potential,1.0,1.0
2017-18,25,Chandler Hutchison,Boise State,G,1.0,22.0,0.8736957779063041,NBA Potential,1.0,4.0
2017-18,26,Gary Trent Jr.,Duke,G,2.0,37.0,0.8684448621553885,NBA Potential,1.0,8.0
2017-18,27,Elijah Bryant,Brigham Young,G,0.0,0.0,0.8680547522652786,NBA Potential,1.0,1.0
2017-18,28,Chimezie Metu,Southern California,F,2.0,49.0,0.8647619047619047,NBA Potential,1.0,6.0
2017-18,29,Dewan Hernandez,Miami (FL),F,2.0,59.0,0.8642619047619047,NBA Potential,1.0,1.0
2017-18,30,Malik Newman,Kansas,G,0.0,0.0,0.855405179615706,NBA Potential,1.0,2.0
2017-18,31,Aaron Holiday,UCLA,G,1.0,23.0,0.8484210526315789,NBA Potential,1.0,8.0
2017-18,32,Jae'Sean Tate,Ohio State,F,0.0,0.0,0.8484210526315789,NBA Potential,1.0,6.0
2017-18,33,Jordan McLaughlin,Southern California,G,0.0,0.0,0.8484210526315789,NBA Potential,1.0,7.0
2017-18,34,Keita Bates-Diop,Ohio State,G,2.0,48.0,0.8414285714285714,NBA Potential,1.0,6.0
2017-18,35,Jevon Carter,West Virginia,F,2.0,32.0,0.8411353383458646,NBA Potential,1.0,8.0
2017-18,36,Deandre Ayton,Arizona,G,1.0,1.0,0.8399051796157059,NBA Potential,1.0,8.0
2017-18,37,Dakota Mathias,Purdue,G,0.0,0.0,0.8379173505489295,NBA Potential,1.0,2.0
2017-18,38,Bonzie Colson,Notre Dame,F,0.0,0.0,0.8354051796157058,NBA Potential,1.0,1.0
2017-18,39,Mikal Bridges,Villanova,G,1.0,10.0,0.8354051796157058,NBA Potential,1.0,8.0
2017-18,40,Kendrick Nunn,Oakland,G,0.0,0.0,0.8347012987012988,NBA Potential,1.0,3.0
2017-18,41,Allonzo Trier,Arizona,G,0.0,0.0,0.8341353383458646,NBA Potential,1.0,2.0
2017-18,42,Kenrich Williams,TCU,F,0.0,0.0,0.8150877192982456,NBA Potential,1.0,7.0
2017-18,43,Gary Clark,Cincinnati,F,0.0,0.0,0.8139051796157057,NBA Potential,1.0,4.0
2017-18,44,Chris Chiozza,Florida,G,0.0,0.0,0.8065162907268171,NBA Potential,1.0,4.0
2017-18,45,Daryl Macon,Arkansas,G,0.0,0.0,0.8048020050125313,NBA Potential,1.0,2.0
2017-18,46,Donte DiVincenzo,Villanova,G,1.0,17.0,0.7984210526315787,NBA Potential,1.0,8.0
2017-18,47,Kaiser Gates,Xavier,F,0.0,0.0,0.7972570314675578,NBA Potential,1.0,1.0
2017-18,48,Jaren Jackson Jr.,Michigan State,F,1.0,4.0,0.7891617933723197,NBA Potential,1.0,8.0
2017-18,49,Wenyen Gabriel,Kentucky,F,0.0,0.0,0.7867499216791982,NBA Potential,1.0,5.0
2017-18,50,Jerome Robinson,Boston College,G,1.0,13.0,0.7620346320346321,NBA Potential,1.0,4.0
2018-19,1,De'Andre Hunter,Virginia,G,1.0,4.0,0.9398496240601503,NBA Potential,1.0,7.0
2018-19,2,Ignas Brazdeikis,Michigan,F,2.0,47.0,0.9398496240601503,NBA Potential,1.0,3.0
2018-19,3,Nickeil Alexander-Walker,Virginia Tech,G,1.0,17.0,0.9398496240601503,NBA Potential,1.0,7.0
2018-19,4,Grant Williams,Tennessee,G,1.0,22.0,0.9393496240601504,NBA Potential,1.0,6.0
2018-19,5,Jarrett Culver,Texas Tech,F,1.0,6.0,0.9393496240601504,NBA Potential,1.0,4.0
2018-19,6,Dean Wade,Kansas State,F,0.0,0.0,0.9383496240601502,NBA Potential,1.0,7.0
2018-19,7,Nassir Little,North Carolina,F,1.0,25.0,0.9383496240601502,NBA Potential,1.0,5.0
2018-19,8,Chuma Okeke,Auburn,F,1.0,16.0,0.9378496240601504,NBA Potential,1.0,5.0
2018-19,9,Louis King,Oregon,F,0.0,0.0,0.9373496240601504,NBA Potential,1.0,4.0
2018-19,10,Keldon Johnson,Kentucky,G,1.0,29.0,0.9368496240601504,NBA Potential,1.0,7.0
2018-19,11,Quinndary Weatherspoon,Mississippi State,F,2.0,49.0,0.9251778093883356,NBA Potential,1.0,3.0
2018-19,12,Ky Bowman,Boston College,G,0.0,0.0,0.9241778093883358,NBA Potential,1.0,1.0
2018-19,13,Bruno Fernando,Maryland,F,2.0,34.0,0.9231778093883356,NBA Potential,1.0,6.0
2018-19,14,Romeo Langford,Indiana,G,1.0,14.0,0.9198496240601504,NBA Potential,1.0,4.0
2018-19,15,Coby White,North Carolina,F,1.0,7.0,0.9196778093883357,NBA Potential,1.0,6.0
2018-19,16,Mfiondu Kabengele,Florida State,F,1.0,27.0,0.90589010989011,NBA Potential,1.0,3.0
2018-19,17,Brandon Clarke,Gonzaga,G,1.0,21.0,0.9051778093883357,NBA Potential,1.0,6.0
2018-19,18,Daniel Gafford,Arkansas,F,2.0,38.0,0.9013880855986119,NBA Potential,1.0,7.0
2018-19,19,Tremont Waters,Louisiana State,G,2.0,51.0,0.9013880855986119,NBA Potential,1.0,3.0
2018-19,20,Rui Hachimura,Gonzaga,G,1.0,9.0,0.8955162907268172,NBA Potential,1.0,7.0
2018-19,21,Eric Paschall,Villanova,G,2.0,41.0,0.8928901098901099,NBA Potential,1.0,3.0
2018-19,22,Tyler Herro,Kentucky,G,1.0,13.0,0.8916957779063044,NBA Potential,1.0,6.0
2018-19,23,Carsen Edwards,Purdue,G,2.0,33.0,0.8912781954887219,NBA Potential,1.0,3.0
2018-19,24,Caleb Martin,Nevada,G,0.0,0.0,0.8891957779063041,NBA Potential,1.0,7.0
2018-19,25,Zach Norvell Jr.,Gonzaga,G,0.0,0.0,0.8846353383458647,NBA Potential,1.0,1.0
2018-19,26,Jalen McDaniels,San Diego State,F,2.0,52.0,0.8786957779063043,NBA Potential,1.0,6.0
2018-19,27,Amir Coffey,Minnesota,G,0.0,0.0,0.8703496240601503,NBA Potential,1.0,7.0
2018-19,28,Shamorie Ponds,St. John's (NY),G,0.0,0.0,0.8680547522652786,NBA Potential,1.0,1.0
2018-19,29,Luguentz Dort,Arizona State,G,0.0,0.0,0.8670567765567766,NBA Potential,1.0,7.0
2018-19,30,Talen Horton-Tucker,Iowa State,G,2.0,46.0,0.8606829573934837,NBA Potential,1.0,6.0
2018-19,31,Ty Jerome,Virginia,G,1.0,24.0,0.8565567765567765,NBA Potential,1.0,6.0
2018-19,32,Naz Reid,Louisiana State,F,0.0,0.0,0.8526353383458647,NBA Potential,1.0,7.0
2018-19,33,Marial Shayok,Iowa State,F,2.0,54.0,0.846016290726817,NBA Potential,1.0,1.0
2018-19,34,Juwan Morgan,Indiana,F,0.0,0.0,0.8354051796157058,NBA Potential,1.0,3.0
2018-19,35,Terance Mann,Florida State,G,2.0,48.0,0.8341353383458646,NBA Potential,1.0,7.0
2018-19,36,Lindell Wigginton,Iowa State,G,0.0,0.0,0.8294051796157056,NBA Potential,1.0,3.0
2018-19,37,Kevin Porter Jr.,Southern California,G,1.0,30.0,0.8287012987012986,NBA Potential,1.0,6.0
2018-19,38,Kyle Guy,Virginia,G,2.0,55.0,0.8264285714285714,NBA Potential,1.0,3.0
2018-19,39,Jaylen Nowell,Washington,F,2.0,43.0,0.8262567567567569,NBA Potential,1.0,6.0
2018-19,40,Tyler Cook,Iowa,F,0.0,0.0,0.8261988304093567,NBA Potential,1.0,3.0
2018-19,41,Isaiah Roby,Nebraska,F,2.0,45.0,0.8233583959899751,NBA Potential,1.0,4.0
2018-19,42,Max Strus,DePaul,F,0.0,0.0,0.8233583959899748,NBA Potential,1.0,6.0
2018-19,43,Jaylen Hoard,Wake Forest,F,0.0,0.0,0.8231539718862374,NBA Potential,1.0,3.0
2018-19,44,Vic Law,Northwestern,F,0.0,0.0,0.817468671679198,NBA Potential,1.0,1.0
2018-19,45,Donta Hall,Alabama,F,0.0,0.0,0.8111539718862373,NBA Potential,1.0,2.0
2018-19,46,Marques Bolden,Duke,C,0.0,0.0,0.8111539718862373,NBA Potential,1.0,3.0
2018-19,47,Jordan Poole,Michigan,G,1.0,28.0,0.8063239830345095,NBA Potential,1.0,7.0
2018-19,48,Moses Brown,UCLA,C,0.0,0.0,0.8008020050125314,NBA Potential,1.0,6.0
2018-19,49,Jaxson Hayes,Texas,F,1.0,8.0,0.7972695772695775,NBA Potential,1.0,7.0
2018-19,50,Ja Morant,Murray State,G,1.0,2.0,0.7874000316105578,NBA Potential,1.0,7.0
2019-20,1,Cassius Stanley,Duke,G,2.0,54.0,0.9398496240601503,NBA Potential,1.0,2.0
2019-20,2,Paul Reed,DePaul,F,2.0,58.0,0.9398496240601503,NBA Potential,1.0,6.0
2019-20,3,Ty-Shon Alexander,Creighton,G,0.0,0.0,0.9398496240601503,NBA Potential,1.0,1.0
2019-20,4,Tyrese Maxey,Kentucky,G,1.0,21.0,0.9398496240601503,NBA Potential,1.0,6.0
2019-20,5,Isaiah Stewart,Washington,F,1.0,16.0,0.9393496240601504,NBA Potential,1.0,6.0
2019-20,6,Saddiq Bey,Villanova,F,1.0,19.0,0.9388496240601505,NBA Potential,1.0,5.0
2019-20,7,Naji Marshall,Xavier,F,0.0,0.0,0.9383496240601502,NBA Potential,1.0,6.0
2019-20,8,Josh Green,Arizona,G,1.0,18.0,0.9373496240601504,NBA Potential,1.0,5.0
2019-20,9,Devon Dotson,Kansas,G,0.0,0.0,0.9358496240601504,NBA Potential,1.0,3.0
2019-20,10,Patrick Williams,Florida State,F,1.0,4.0,0.9338496240601504,NBA Potential,1.0,6.0
2019-20,11,Tyrell Terry,Stanford,G,2.0,31.0,0.9273496240601503,NBA Potential,1.0,2.0
2019-20,12,Myles Powell,Seton Hall,G,0.0,0.0,0.9231778093883356,NBA Potential,1.0,1.0
2019-20,13,Isaac Okoro,Auburn,F,1.0,5.0,0.9201778093883357,NBA Potential,1.0,6.0
2019-20,14,Jahmi'us Ramsey,Texas Tech,G,2.0,43.0,0.9198496240601504,NBA Potential,1.0,3.0
2019-20,15,Jordan Nwora,Louisville,G,2.0,45.0,0.9198496240601504,NBA Potential,1.0,4.0
2019-20,16,Onyeka Okongwu,Southern California,F,1.0,6.0,0.9191778093883357,NBA Potential,1.0,6.0
2019-20,17,Nate Hinton,Houston,G,0.0,0.0,0.9161778093883356,NBA Potential,1.0,3.0
2019-20,18,Daniel Oturu,Minnesota,G,2.0,33.0,0.9121778093883357,NBA Potential,1.0,2.0
2019-20,19,Malachi Flynn,San Diego State,G,1.0,29.0,0.90739010989011,NBA Potential,1.0,5.0
2019-20,20,Reggie Perry,Mississippi State,F,2.0,57.0,0.9060162907268172,NBA Potential,1.0,2.0
2019-20,21,Elijah Hughes,Syracuse,G,2.0,39.0,0.905516290726817,NBA Potential,1.0,2.0
2019-20,22,Zeke Nnaji,Arizona,F,1.0,22.0,0.898016290726817,NBA Potential,1.0,6.0
2019-20,23,Obi Toppin,Dayton,F,1.0,8.0,0.8908901098901099,NBA Potential,1.0,6.0
2019-20,24,Anthony Edwards,Georgia,G,1.0,1.0,0.8853444760550024,NBA Potential,1.0,6.0
2019-20,25,Malik Fitts,St. Mary's (CA),F,0.0,0.0,0.8846957779063042,NBA Potential,1.0,2.0
2019-20,26,Kira Lewis Jr.,Alabama,G,1.0,13.0,0.8708496240601505,NBA Potential,1.0,4.0
2019-20,27,Skylar Mays,Louisiana State,G,2.0,50.0,0.8681778093883358,NBA Potential,1.0,4.0
2019-20,28,Saben Lee,Vanderbilt,G,2.0,38.0,0.8565952380952379,NBA Potential,1.0,4.0
2019-20,29,Xavier Tillman,Michigan State,F,2.0,35.0,0.8518496240601504,NBA Potential,1.0,6.0
2019-20,30,Jarron Cumberland,Cincinnati,G,0.0,0.0,0.8484210526315789,NBA Potential,1.0,1.0
2019-20,31,Payton Pritchard,Oregon,G,1.0,26.0,0.8436353383458647,NBA Potential,1.0,6.0
2019-20,32,Vernon Carey Jr.,Duke,C,2.0,32.0,0.8426778093883357,NBA Potential,1.0,3.0
2019-20,33,Desmond Bane,TCU,G,1.0,30.0,0.8371353383458647,NBA Potential,1.0,6.0
2019-20,34,Devin Vassell,Florida State,G,1.0,11.0,0.8246115288220551,NBA Potential,1.0,6.0
2019-20,35,Trent Forrest,Florida State,G,0.0,0.0,0.8179686716791981,NBA Potential,1.0,4.0
2019-20,36,Filip Petrusev,Gonzaga,G,2.0,50.0,0.8117567567567567,NBA Potential,1.0,1.0
2019-20,37,Immanuel Quickley,Kentucky,G,1.0,25.0,0.8045718462823725,NBA Potential,1.0,6.0
2019-20,38,Omer Yurtseven,Georgetown,C,0.0,0.0,0.8028020050125313,NBA Potential,1.0,3.0
2019-20,39,Cole Anthony,North Carolina,G,1.0,15.0,0.8008020050125314,NBA Potential,1.0,6.0
2019-20,40,Isaiah Joe,Arkansas,G,2.0,49.0,0.7986375028480291,NBA Potential,1.0,6.0
2019-20,41,Cassius Winston,Michigan State,G,2.0,53.0,0.7892513334618597,NBA Potential,1.0,2.0
2019-20,42,Tyrese Haliburton,Iowa State,G,1.0,12.0,0.7874000316105578,NBA Potential,1.0,5.0
2019-20,43,Nick Richards,Kentucky,F,2.0,42.0,0.7803496240601504,NBA Potential,1.0,6.0
